시군구명,기준년월코드,기준분기코드,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,남성연령대10직장인구수,남성연령대20직장인구수,남성연령대30직장인구수,남성연령대40직장인구수,남성연령대50직장인구수,남성연령대60이상직장인구수,여성연령대10직장인구수,여성연령대20직장인구수,여성연령대30직장인구수,여성연령대40직장인구수,여성연령대50직장인구수,여성연령대60이상직장인구수
구로구,2018,2,106652,66782,39870,362,19189,33838,26575,16229,10459,204,9284,22397,17899,9902,7096,158,9905,11441,8676,6327,3363
구로구,2018,3,106652,66782,39870,362,19189,33838,26575,16229,10459,204,9284,22397,17899,9902,7096,158,9905,11441,8676,6327,3363
구로구,2018,4,106652,66782,39870,362,19189,33838,26575,16229,10459,204,9284,22397,17899,9902,7096,158,9905,11441,8676,6327,3363
구로구,2019,1,110133,64645,45488,478,21798,32412,25051,16997,13397,276,10239,20723,15944,9032,8431,202,11559,11689,9107,7965,4966
구로구,2019,2,81627,51458,30169,253,14565,24881,20274,13420,8234,157,7354,16380,13601,8103,5863,96,7211,8501,6673,5317,2371
구로구,2019,3,81627,51458,30169,253,14565,24881,20274,13420,8234,157,7354,16380,13601,8103,5863,96,7211,8501,6673,5317,2371
구로구,2019,4,76345,47594,28751,277,14152,22511,18745,12667,7993,174,7197,14664,12231,7535,5793,103,6955,7847,6514,5132,2200
금천구,2015,1,129476,80155,49321,3304,29965,42375,29217,16297,8318,1448,14733,28537,19260,10106,6071,1856,15232,13838,9957,6191,2247
금천구,2015,2,134164,82833,51331,2785,30872,43045,30745,17604,9113,1212,14827,28799,20640,10802,6553,1573,16045,14246,10105,6802,2560
금천구,2015,3,134164,82833,51331,2785,30872,43045,30745,17604,9113,1212,14827,28799,20640,10802,6553,1573,16045,14246,10105,6802,2560
금천구,2015,4,137866,84574,53292,4067,32724,42765,31322,17724,9264,1849,15878,28521,20821,10848,6657,2218,16846,14244,10501,6876,2607
금천구,2016,1,137866,84574,53292,4067,32724,42765,31322,17724,9264,1849,15878,28521,20821,10848,6657,2218,16846,14244,10501,6876,2607
금천구,2016,2,140039,85861,54178,2605,32616,43184,32697,18698,10239,1171,15475,28344,22021,11468,7382,1434,17141,14840,10676,7230,2857
금천구,2016,3,140039,85861,54178,2605,32616,43184,32697,18698,10239,1171,15475,28344,22021,11468,7382,1434,17141,14840,10676,7230,2857
금천구,2016,4,139666,85374,54292,3713,32769,42076,32367,18518,10223,1638,15884,27582,21583,11311,7376,2075,16885,14494,10784,7207,2847
금천구,2017,1,139666,85374,54292,3713,32769,42076,32367,18518,10223,1638,15884,27582,21583,11311,7376,2075,16885,14494,10784,7207,2847
금천구,2017,2,140959,86198,54761,2629,32323,41744,32846,19626,11791,1208,15515,27074,22146,11847,8408,1421,16808,14670,10700,7779,3383
금천구,2017,3,140959,86198,54761,2629,32323,41744,32846,19626,11791,1208,15515,27074,22146,11847,8408,1421,16808,14670,10700,7779,3383
금천구,2017,4,137525,84321,53204,2632,31200,40466,32239,19380,11608,1230,15125,26361,21594,11773,8238,1402,16075,14105,10645,7607,3370
금천구,2018,1,137525,84321,53204,2632,31200,40466,32239,19380,11608,1230,15125,26361,21594,11773,8238,1402,16075,14105,10645,7607,3370
