,시군구명,기준년코드,기준분기코드,점포수
388,영등포구,2017,1,345
389,영등포구,2017,2,345
390,영등포구,2017,3,347
391,영등포구,2017,4,352
392,영등포구,2018,1,354
393,영등포구,2018,2,360
394,영등포구,2018,3,363
395,영등포구,2018,4,364
396,영등포구,2019,1,369
397,영등포구,2019,2,371
398,영등포구,2019,3,372
399,영등포구,2019,4,364
400,용산구,2015,1,170
401,용산구,2015,2,170
402,용산구,2015,3,165
403,용산구,2015,4,166
404,용산구,2016,1,164
405,용산구,2016,2,168
406,용산구,2016,3,169
407,용산구,2016,4,169
408,용산구,2017,1,175
409,용산구,2017,2,172
410,용산구,2017,3,169
411,용산구,2017,4,172
412,용산구,2018,1,164
413,용산구,2018,2,159
414,용산구,2018,3,154
415,용산구,2018,4,150
416,용산구,2019,1,147
417,용산구,2019,2,144
418,용산구,2019,3,145
419,용산구,2019,4,147
420,은평구,2015,1,492
421,은평구,2015,2,489
422,은평구,2015,3,486
423,은평구,2015,4,487
424,은평구,2016,1,490
425,은평구,2016,2,490
426,은평구,2016,3,488
427,은평구,2016,4,484
428,은평구,2017,1,477
429,은평구,2017,2,470
430,은평구,2017,3,463
431,은평구,2017,4,460
432,은평구,2018,1,457
433,은평구,2018,2,451
434,은평구,2018,3,451
435,은평구,2018,4,453
436,은평구,2019,1,448
437,은평구,2019,2,448
438,은평구,2019,3,448
439,은평구,2019,4,443
440,종로구,2015,1,329
441,종로구,2015,2,323
442,종로구,2015,3,324
443,종로구,2015,4,324
444,종로구,2016,1,322
445,종로구,2016,2,319
446,종로구,2016,3,315
447,종로구,2016,4,317
448,종로구,2017,1,321
449,종로구,2017,2,324
450,종로구,2017,3,317
451,종로구,2017,4,316
452,종로구,2018,1,307
453,종로구,2018,2,307
454,종로구,2018,3,304
455,종로구,2018,4,312
456,종로구,2019,1,308
457,종로구,2019,2,309
458,종로구,2019,3,308
459,종로구,2019,4,300
460,중구,2015,1,140
461,중구,2015,2,142
462,중구,2015,3,147
463,중구,2015,4,148
464,중구,2016,1,146
465,중구,2016,2,149
466,중구,2016,3,154
467,중구,2016,4,150
468,중구,2017,1,152
469,중구,2017,2,149
470,중구,2017,3,147
471,중구,2017,4,149
472,중구,2018,1,152
473,중구,2018,2,147
474,중구,2018,3,147
475,중구,2018,4,150
476,중구,2019,1,148
477,중구,2019,2,149
478,중구,2019,3,153
479,중구,2019,4,150
480,중랑구,2015,1,307
481,중랑구,2015,2,301
482,중랑구,2015,3,301
483,중랑구,2015,4,303
484,중랑구,2016,1,299
485,중랑구,2016,2,295
486,중랑구,2016,3,298
