s,기준년코드,기준분기코드,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,월요일유동인구수,화요일유동인구수,수요일유동인구수,목요일유동인구수,금요일유동인구수,토요일유동인구수,일요일유동인구수
노원구,2017,3,3650884,4034242,767561,2228510,1259044,1244845,1249370,935805,1026479,1042035,1053395,1050167,1148221,1222455,1142374
노원구,2017,4,3566992,3944636,731757,2197923,1249060,1227868,1209525,895501,1020273,1008104,985345,1029171,1147141,1223838,1097786
노원구,2018,1,3379507,3643216,778502,2082171,1114307,1103484,1107882,836394,955470,959925,975269,942003,1017207,1114382,1058471
노원구,2018,2,3559092,3879907,678884,2118251,1209370,1195680,1249667,987123,1009412,1008933,1032020,1016185,1089653,1178781,1104022
노원구,2018,3,4015480,4332578,775303,2479338,1331355,1296740,1375426,1089909,1138027,1170318,1155824,1130433,1247372,1301534,1204560
노원구,2018,4,3360800,3553948,621430,2020501,1091399,1079972,1162905,938529,943794,942848,943436,926412,1024675,1113687,1019894
노원구,2019,1,7246720,8317156,2330542,2674254,1903595,2175631,2450362,4029487,2170809,2164028,2178710,2172430,2214723,2346602,2316576
노원구,2019,2,6699673,7861834,2141244,2473032,1792915,2058801,2315763,3779754,2027716,2014232,2038461,2041147,2072976,2199745,2167233
노원구,2019,3,6923222,8110415,2248164,2573978,1836185,2100448,2394129,3880739,2099099,2112164,2129256,2103558,2114996,2247945,2226621
노원구,2019,4,7167168,8329827,2383052,2612019,1881515,2158828,2449792,4011795,2134134,2139692,2182968,2171822,2196672,2345495,2326223
도봉구,2015,1,2666128,2886866,320299,673326,1135293,1372649,1338205,713220,982003,963812,851293,812065,711549,640061,592232
도봉구,2015,2,2551763,2822797,313428,621972,1099595,1353344,1321375,664850,825895,799368,823025,824299,873694,707796,520478
도봉구,2015,3,2505399,2820289,315676,614943,994644,1325162,1371600,703661,837387,822290,806191,824340,867029,672516,495937
도봉구,2015,4,2199559,2582445,303636,537957,868563,1193300,1253617,624938,762224,754594,732191,732233,745687,606138,448933
도봉구,2016,1,1920312,2255067,244330,446186,744248,1020372,1099908,620344,648153,624952,646330,663215,675053,533096,384598
도봉구,2016,2,2031787,2527167,279371,473685,790285,1120042,1208454,687102,701812,635884,705117,756881,731200,584077,443966
도봉구,2016,3,1517921,1956052,202742,357712,613668,857672,932495,509688,556968,557679,537046,528598,555102,429474,309110
도봉구,2016,4,1287214,1749774,190635,310944,512129,747451,814827,460986,471086,469520,470643,464598,500464,391009,269665
도봉구,2017,1,2359109,2240258,312428,980849,844977,862810,946225,652062,586704,586074,698149,705114,675974,696469,650899
도봉구,2017,2,2554472,2462208,306091,1042156,917357,927886,1028990,794204,688802,705766,704595,701602,723010,741991,750952
도봉구,2017,3,3386635,3357142,422153,1411415,1209051,1215040,1353008,1133144,940111,919131,949841,934820,1033238,979861,986768
도봉구,2017,4,2889039,2777451,340021,1152850,1000420,1046464,1163277,963465,780657,805326,796525,790517,825002,849386,819066
도봉구,2018,1,2656168,2543604,315902,1076870,886420,946492,1091276,882810,724019,727391,741570,720609,754798,759451,771937
도봉구,2018,2,3398266,3346104,400799,1347268,1143083,1219136,1411943,1222137,950970,947366,956278,938309,953466,987695,1010298
도봉구,2018,3,2709844,2610457,297835,1094090,902807,921763,1113400,990412,748557,748641,733872,733523,770643,786467,798613
도봉구,2018,4,2391650,2283255,238062,907274,769611,817512,1016166,926300,648965,644683,645322,642840,676091,698537,718482
도봉구,2019,1,8448713,9901735,2584765,2320415,2337533,2661894,2969373,5476464,2595791,2607088,2586239,2570232,2573712,2680399,2736987
도봉구,2019,2,7949096,9551239,2407793,2222661,2254923,2526590,2833996,5254375,2480148,2452351,2467412,2465937,2459337,2554065,2621084
도봉구,2019,3,7943791,9358564,2335882,2266865,2254473,2492520,2812256,5140347,2434715,2436293,2442516,2451407,2435079,2521858,2580478
도봉구,2019,4,8080671,9497908,2384491,2287735,2296639,2532804,2852447,5224467,2491830,2481606,2484977,2468199,2453476,2563462,2635031
동대문구,2015,1,9357746,8256985,675986,2715901,3902767,4061395,3854490,2404207,3199845,3151714,2771165,2610430,2317545,1921282,1642809
동대문구,2015,2,9147082,8130758,727721,2721719,3746062,3972664,3809110,2300607,2697968,2663708,2781632,2770134,2867723,2089555,1407164
동대문구,2015,3,8851175,7965754,684571,2348442,3485960,3909536,3923022,2465468,2658573,2678625,2668282,2729135,2769271,1959876,1353193
동대문구,2015,4,9257111,8633928,834564,2754585,3552826,3993554,4072917,2682638,2874214,2887569,2812847,2780796,2806902,2198846,1529934
동대문구,2016,1,7174575,6717431,509098,1999917,2736657,3129041,3234644,2282681,2202090,2088518,2201673,2291885,2305469,1679244,1123174
동대문구,2016,2,6449139,6316260,521618,1925076,2459581,2823767,2951922,2083463,2029313,1897740,2028296,2160752,2086041,1524073,1039251
동대문구,2016,3,5241130,5225038,388320,1490563,2037194,2378554,2475282,1696302,1724512,1723366,1656710,1642645,1708976,1207284,802683
동대문구,2016,4,4675832,4782142,435484,1447152,1781166,2096006,2194631,1503562,1486975,1506498,1508744,1497212,1571211,1145533,741789
동대문구,2017,1,7110025,6302908,893851,4058181,2567227,2131888,2127943,1633922,1808314,1842398,2071195,2060462,1971227,1949348,1710019
동대문구,2017,2,8990962,8230394,1219088,5086877,3198903,2668659,2662430,2385436,2506054,2491548,2603759,2467715,2559789,2340624,2251929
동대문구,2017,3,8736731,7837216,997780,4858717,3019247,2612362,2651926,2433954,2381816,2415402,2444268,2441681,2437995,2285189,2167654
동대문구,2017,4,8440624,7721737,981540,5192333,2877996,2417841,2475997,2216691,2287111,2396510,2316634,2336628,2400421,2327430,2097694
동대문구,2018,1,9176438,8497336,1277833,5537662,3086441,2638445,2683770,2449648,2562752,2624044,2656519,2493154,2545660,2435709,2355954
동대문구,2018,2,9409077,8745066,1284844,5731086,3102057,2630077,2782193,2623913,2647504,2672886,2658345,2712634,2663305,2473217,2326305
동대문구,2018,3,9785434,8995655,1066490,5621300,3317149,2815953,3052159,2908062,2668956,2708773,2666231,2742739,2854701,2650444,2489278
동대문구,2018,4,8664547,7752781,923598,5127413,2807871,2382621,2599998,2575904,2365127,2367326,2389767,2385223,2424011,2310914,2174982
동대문구,2019,1,21096631,22524787,5635933,7633730,6214496,6202037,6366916,11568340,6216337,6187712,6225676,6249241,6201256,6272057,6269152
동대문구,2019,2,20660568,22459801,5764097,8109639,6090262,6024290,6121330,11010749,6173817,6170484,6216534,6203879,6157453,6096418,6101820
동대문구,2019,3,19798790,21345468,5232098,7366444,5967341,5863948,5974459,10739976,5909244,5934426,5934624,5865540,5800549,5835281,5864598
동대문구,2019,4,20627074,22307663,5532620,8075062,6193856,6071543,6154500,10907166,6144802,6138463,6163873,6127231,6103924,6123297,6133159
동작구,2015,1,6309269,6230619,563990,2456112,2944856,2681640,2415481,1477838,2245091,2208853,1949188,1849111,1642563,1407190,1237895
동작구,2015,2,6130124,6152574,614339,2496022,2810839,2593876,2366643,1400963,1900761,1873340,1940675,1951626,2034571,1519469,1062248
동작구,2015,3,5080000,5174713,461060,1959939,2285636,2214842,2098900,1234339,1608633,1614430,1606562,1668415,1681325,1223057,852301
