기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
2015,3,A,골목상권,1000459,대흥로21길,CS100010,커피-음료,4,4,0,0,25,1,0
2015,3,A,골목상권,1000220,휘경로2길,CS100010,커피-음료,12,17,0,0,0,0,5
2015,3,A,골목상권,1000969,고덕로25길,CS100010,커피-음료,2,3,0,0,0,0,1
2015,3,A,골목상권,1000788,낙성대역길,CS100010,커피-음료,6,6,17,1,0,0,0
2015,3,A,골목상권,1000276,보문로31길,CS100010,커피-음료,6,6,17,1,0,0,0
2015,3,D,발달상권,1001146,용산구청,CS100010,커피-음료,5,5,20,1,0,0,0
2015,3,A,골목상권,1000096,마조로1길,CS100010,커피-음료,7,8,13,1,25,2,1
2015,3,A,골목상권,1000588,등촌로5길,CS100010,커피-음료,2,3,33,1,0,0,1
2015,3,A,골목상권,1000923,삼성로75길,CS100010,커피-음료,8,10,20,2,10,1,2
2015,3,D,발달상권,1001023,가산디지털단지역_2,CS100010,커피-음료,21,34,6,2,3,1,13
2015,3,D,발달상권,1001078,서울 강남구 강남역_2,CS100010,커피-음료,33,56,14,8,4,2,23
2015,3,D,발달상권,1001130,청담역_1,CS100010,커피-음료,6,9,0,0,11,1,3
2015,3,A,골목상권,1000469,동교로27길,CS100010,커피-음료,22,24,4,1,0,0,2
2015,3,A,골목상권,1000957,송이로36길,CS100010,커피-음료,9,9,22,2,0,0,0
2015,3,A,골목상권,1000532,신목로5길,CS100010,커피-음료,3,4,0,0,0,0,1
2015,3,D,발달상권,1001179,강서구청,CS100010,커피-음료,8,11,18,2,27,3,3
2015,3,A,골목상권,1000506,효창원로93길,CS100010,커피-음료,4,5,0,0,0,0,1
2015,3,A,골목상권,1000396,서오릉로8길,CS100010,커피-음료,1,1,0,0,0,0,0
