기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2015,4,D,발달상권,1001262,서울 노원구 노원역_2,CS300002,편의점,3,6,0,0,0,0,3
2015,4,A,골목상권,1000297,정릉로26길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000442,세무서길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000914,봉은사로43길,CS300002,편의점,1,6,0,0,0,0,5
2015,4,D,발달상권,1001055,서울 서초구 서초역,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000878,주흥길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000977,명일로13길,CS300002,편의점,0,1,0,0,100,1,1
2015,4,A,골목상권,1000974,동남로65길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000993,올림픽로48길,CS300002,편의점,2,5,0,0,0,0,3
2015,4,A,골목상권,1001005,천호대로187길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000975,동남로82길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000318,덕릉로40길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,R,전통시장,1001354,우이시장,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000328,삼양로20길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000330,삼양로27길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000316,노해로23길,CS300002,편의점,0,0,0,0,0,0,0
2015,4,R,전통시장,1001361,신도봉시장,CS300002,편의점,0,0,0,0,0,0,0
2015,4,R,전통시장,1001340,정릉시장,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000042,청구로17길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000286,오패산로19길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000242,면목로33길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000306,창경궁로43길,CS300002,편의점,0,1,0,0,100,1,1
2015,4,A,골목상권,1000146,뚝섬로48길,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000195,장한로14길,CS300002,편의점,1,3,0,0,0,0,2
2015,4,D,발달상권,1001190,장한평역,CS300002,편의점,0,4,0,0,0,0,4
2015,4,R,전통시장,1001295,행당시장,CS300002,편의점,1,3,0,0,0,0,2
2015,4,A,골목상권,1000106,성덕정17길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,A,골목상권,1000115,아차산로5길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000151,아차산로40길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000143,동일로24길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000097,매봉길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000196,장한로25길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000198,장한로26길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000246,면목로55길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,R,전통시장,1001335,묵1동도깨비시장,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000222,겸재로29길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000405,연서로28길,CS300002,편의점,0,6,0,0,0,0,6
2015,4,A,골목상권,1000135,긴고랑로8길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,R,전통시장,1001343,장위전통시장,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000821,신림로65길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000027,필운대로1길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000472,마포대로20길,CS300002,편의점,0,5,0,0,0,0,5
2015,4,A,골목상권,1000754,사당로2차길,CS300002,편의점,1,3,0,0,0,0,2
2015,4,A,골목상권,1000840,양산길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000712,선유서로25길,CS300002,편의점,0,5,20,1,0,0,5
2015,4,A,골목상권,1000528,목동중앙북로8길,CS300002,편의점,0,0,0,0,0,0,0
2015,4,A,골목상권,1000317,노해로33길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,D,발달상권,1001053,서울 강남구 대치역_1,CS300002,편의점,2,3,0,0,0,0,1
2015,4,A,골목상권,1000775,장승배기로10길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000818,신림로38길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,D,발달상권,1001031,서울 관악구 신림역_1,CS300002,편의점,0,8,13,1,13,1,8
2015,4,A,골목상권,1000790,난곡로26길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000663,독산로64길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000665,독산로78다길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000830,조원로18길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,D,발달상권,1001049,개봉동 현대아파트 인근,CS300002,편의점,1,3,0,0,0,0,2
2015,4,A,골목상권,1000542,중앙로25길,CS300002,편의점,0,0,0,0,0,1,0
2015,4,A,골목상권,1000509,곰달래로2길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000548,중앙로55길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,R,전통시장,1001402,신월6동골목시장,CS300002,편의점,2,2,0,0,0,0,0
2015,4,D,발달상권,1001206,서대문구 서대문역_2,CS300002,편의점,0,5,0,0,0,0,5
2015,4,A,골목상권,1000863,방배로35길,CS300002,편의점,1,6,0,0,0,0,5
2015,4,A,골목상권,1000501,월드컵로25길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,R,전통시장,1001422,오류시장,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000638,구로중앙로8길,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000623,고척로27다길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000613,개봉로20길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000640,도림로12길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000630,구로동로42길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000824,양녕로6길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,R,전통시장,1001374,대림골목시장,CS300002,편의점,0,0,0,0,0,0,0
2015,4,A,골목상권,1000394,불광천길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,R,전통시장,1001368,연서시장,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000397,수색로18길,CS300002,편의점,1,1,0,0,0,0,0
2015,4,A,골목상권,1000446,응암로1길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000454,통일로37길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000410,연서로41길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000457,홍제내길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000417,응암로12길,CS300002,편의점,1,1,0,0,0,0,0
2015,4,A,골목상권,1000558,강서로35길,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000568,개화동로25길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000722,여의대방로35길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000749,사당로20길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000748,사당로16길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000778,흑석로13길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000767,성대로29길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000747,사당로16가길,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000759,상도로47길,CS300002,편의점,2,2,0,0,0,0,0
2015,4,A,골목상권,1000710,선유로55길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,D,발달상권,1001139,서울 영등포구 영등포구청역,CS300002,편의점,0,4,0,0,0,0,4
2015,4,A,골목상권,1000700,도림로147길,CS300002,편의점,0,0,0,0,0,0,0
2015,4,A,골목상권,1000685,경인로80길,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000068,원효로89길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000073,청파로47길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000083,한강대로88길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,R,전통시장,1001393,마포농수산물시장,CS300002,편의점,0,0,0,0,0,0,0
2015,4,A,골목상권,1000019,종로65길,CS300002,편의점,2,2,0,0,50,1,0
2015,4,D,발달상권,1001233,서울 종로구 종로3가역_3,CS300002,편의점,0,0,0,0,0,0,0
2015,4,A,골목상권,1000006,북촌로11길,CS300002,편의점,0,0,0,0,0,0,0
2015,4,D,발달상권,1001167,서울 마포구 공덕역_1,CS300002,편의점,2,8,13,1,13,1,6
2015,4,R,전통시장,1001336,우림골목시장,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000732,영신로9길,CS300002,편의점,0,3,33,1,0,0,3
2015,4,D,발달상권,1001200,북창동,CS300002,편의점,2,12,0,0,0,0,10
2015,4,D,발달상권,1001042,서울 서초구 남부터미널역_3,CS300002,편의점,0,4,0,0,0,0,4
2015,4,R,전통시장,1001480,새마을시장,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000020,지봉로8길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000212,천호대로77길,CS300002,편의점,0,1,100,1,0,0,1
2015,4,A,골목상권,1000641,도림로6길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,A,골목상권,1000029,난계로21길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,R,전통시장,1001450,남성역골목시장,CS300002,편의점,2,5,0,0,0,0,3
2015,4,D,발달상권,1001095,강남구 논현역_2,CS300002,편의점,4,25,0,0,4,1,21
2015,4,D,발달상권,1001209,서울시청,CS300002,편의점,3,15,20,3,20,3,12
2015,4,D,발달상권,1001105,서울 동작구 노량진역,CS300002,편의점,2,16,19,3,0,0,14
2015,4,A,골목상권,1000147,뚝섬로54길,CS300002,편의점,1,4,0,0,0,0,3
2015,4,D,발달상권,1001193,장한평역_1,CS300002,편의점,1,8,0,0,0,0,7
2015,4,D,발달상권,1001118,문래동 주민센터,CS300002,편의점,0,5,0,0,0,0,5
2015,4,D,발달상권,1001239,디지털미디어시티,CS300002,편의점,5,22,18,4,9,2,17
2015,4,A,골목상권,1000947,백제고분로33길,CS300002,편의점,2,9,22,2,0,0,7
2015,4,A,골목상권,1000121,용답29길,CS300002,편의점,1,3,0,0,0,0,2
2015,4,A,골목상권,1000952,백제고분로46길,CS300002,편의점,1,7,14,1,0,0,6
2015,4,A,골목상권,1000113,아차산로11길,CS300002,편의점,2,7,0,0,0,0,5
