기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,술집점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2016,2,A,골목상권,1000873,서초대로64길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,A,골목상권,1000975,동남로82길,CS100009,호프-간이주점,4,5,0,0,0,0,1
2016,2,D,발달상권,1001176,서울 중구 약수역_1,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,A,골목상권,1000585,등촌로39길,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,D,발달상권,1001218,동대문시장_2,CS100009,호프-간이주점,1,1,0,0,100,1,0
2016,2,A,골목상권,1000313,화랑로32길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,A,골목상권,1000275,보문로26길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000285,안암로5길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000282,성북로8길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,D,발달상권,1001177,서울 중구 약수역_2,CS100009,호프-간이주점,1,3,0,0,0,0,2
2016,2,A,골목상권,1000553,가로공원로80길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,D,발달상권,1001190,장한평역,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000162,자양로50길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000032,다산로38길,CS100009,호프-간이주점,5,5,0,0,20,1,0
2016,2,A,골목상권,1000064,우사단로4길,CS100009,호프-간이주점,5,6,0,0,17,1,1
2016,2,A,골목상권,1000187,서울시립대로16길,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,D,발달상권,1001224,서울 동대문구 신설동역_1,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,R,전통시장,1001312,용두시장,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000182,무학로16길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,D,발달상권,1001202,롯데백화점,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,R,전통시장,1001426,대명시장,CS100009,호프-간이주점,7,9,0,0,11,1,2
2016,2,A,골목상권,1000505,토정로37길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,A,골목상권,1000786,구암길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,D,발달상권,1001021,가산디지털단지역_1,CS100009,호프-간이주점,2,3,0,0,0,0,1
